 ,,,"Cust
Pounds",,,,,,,Case Dimensions,,,Pallet Info,
Customer group,Mat'l,Yr/Mo,12/2019,01/2020,02/2020,TI/HI,PLT QTY,Net Weight ,Gross Weight,H,L,W,Gross Weight (65lb per pallet),Pallet Height in Inches (5in per plt)
HANNAFORD DAIRY,170706,SWISS THIN SHNGL SLC 12/6.84 OZ HANN,"4,596 ","7,192 ","3,842 ",16X08,128,6,5.65,4.375,12.063,8.813,  788.20 ,  40.000 
HANNAFORD DAIRY,170707,PROV THIN SHNGL SLC 12/7.6 OZ HANN,"5,814 ","7,268 ","5,808 ",16X08,128,6,6.27,4.375,12.063,8.813,  867.56 ,  40.000 
HANNAFORD DAIRY,170708,SHARP W THIN SHNGL SLC 12/6.84 OZ HANN,"3,904 ","5,858 ","5,094 ",16X08,128,6,5.65,4.375,12.063,8.813,  788.20 ,  40.000 
HANNAFORD DAIRY,170783,SHARP CHD C 2% FCY SHR 12/8 OZ ZSUP HANN,"10,788 ","12,906 ","10,080 ",15X08,120,6,6.76,5.418,15.677,7.927,  876.20 ,  48.344 
HANNAFORD DAIRY,170792,CHED DBL CHS W SHR 12/8 OZ ZSUP HANN,"10,068 ","10,800 ","7,200 ",15X08,120,6,6.67,5.418,15.677,7.927,  865.40 ,  48.344 
HANNAFORD DAIRY,170795,SHARP CHED W FNCY SHR 6/2 LB ZIP HANN,"21,600 ","18,900 ","13,500 ",15X05,75,12,12.84,8.375,12.875,9.375,"  1,028.00 ",  46.875 
HANNAFORD DAIRY,172241,NY X-SH CHED W CHNK 12/32 OZ HANN,"12,168 ","13,968 ","15,528 ",13X05,65,24,25.03,7.25,15.75,8.625,"  1,691.95 ",  41.250 
HANNAFORD DAIRY,172242,NY XSH CHD W CRK CUT 12/10 OZ HANN,"20,393 ","14,663 ","9,563 ",17X05,85,7.5,9.3,8.5,11.438,8.938,  855.50 ,  47.500 
HANNAFORD DAIRY,172243,GOUDA CRK CUT 12/10 OZ HANN,"7,605 ","5,738 ","3,188 ",17X05,85,7.5,9.3,8.5,11.438,8.938,  855.50 ,  47.500 
HANNAFORD DAIRY,172244,COLBY JACK CRK CUT 12/10 OZ HANN,"19,125 ","12,105 ","7,013 ",17X05,85,7.5,9.3,8.5,11.438,8.938,  855.50 ,  47.500 
HANNAFORD DAIRY,172245,PEPPER JACK CRK CUT 12/10 OZ HANN,"14,648 ","8,925 ","6,375 ",17X05,85,7.5,9.3,8.5,11.438,8.938,  855.50 ,  47.500 
HANNAFORD DAIRY,172258,RR MUENSTER CHNK 12/16 OZ HANN,"6,948 ","5,292 ","5,280 ",21X07,147,12,12.58,5.87,12.86,6.81,"  1,914.26 ",  46.090 
HANNAFORD DAIRY,172259,PEPPER JACK CHNK 12/16 OZ HANN,"8,820 ","6,972 ","5,160 ",21X07,147,12,12.58,6.5,12.625,6.875,"  1,914.26 ",  50.500 
HANNAFORD DAIRY,172260,VT CHED W BAR 12/8 OZ HANN,"6,600 ","8,238 ","4,938 ",25X11,275,6,6.38,3.98,10.865,6.615,"  1,819.50 ",  48.780 
